slide_width_pt,slide_height_pt,slide_index,shape_id,shape_name,shape_type,left_pt,top_pt,width_pt,height_pt,left_pct,top_pct,width_pct,height_pct,rotation_deg,fill_hex,fill_transparency,line_hex,line_weight_pt,line_transparency,zorder,rounded_radius_pct
960.0000,540.0000,1,38,Rectangle 37,AutoShape,412.1887,299.9461,15.3600,4.8000,0.4294,0.5555,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,28,
960.0000,540.0000,1,39,Rectangle 38,AutoShape,418.6352,289.6552,15.3600,4.8000,0.4361,0.5364,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,29,
960.0000,540.0000,1,40,Rectangle 39,AutoShape,424.7670,278.8788,15.3600,4.8000,0.4425,0.5164,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,30,
960.0000,540.0000,1,41,Rectangle 40,AutoShape,431.2040,268.3642,15.3600,4.8000,0.4492,0.4970,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,31,
960.0000,540.0000,1,42,Rectangle 41,AutoShape,437.5031,258.2842,15.3600,4.8000,0.4557,0.4783,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,32,
960.0000,540.0000,1,43,Rectangle 42,AutoShape,443.9542,248.1074,15.3600,4.8000,0.4625,0.4595,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,33,
960.0000,540.0000,1,44,Rectangle 43,AutoShape,450.0954,237.9807,15.3600,4.8000,0.4688,0.4407,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,34,
960.0000,540.0000,1,45,Rectangle 44,AutoShape,456.5443,227.5264,15.3600,4.8000,0.4756,0.4213,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,35,
960.0000,540.0000,1,46,Rectangle 45,AutoShape,464.0121,216.4871,15.3600,4.8000,0.4833,0.4009,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,36,
960.0000,540.0000,1,47,Rectangle 46,AutoShape,470.4969,205.6715,15.3600,4.8000,0.4901,0.3809,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,37,
960.0000,540.0000,1,48,Rectangle 47,AutoShape,476.3047,196.1859,15.3600,4.8000,0.4962,0.3633,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,38,
960.0000,540.0000,1,49,Rectangle 48,AutoShape,483.3343,184.7752,15.3600,4.8000,0.5035,0.3422,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,39,
960.0000,540.0000,1,50,Rectangle 49,AutoShape,500.2421,174.3934,15.3600,4.8000,0.5211,0.3230,0.0160,0.0089,341.097,#FFFF00,0.000,#042433,1.500,0.000,40,
960.0000,540.0000,1,51,Rectangle 50,AutoShape,375.1509,299.4049,15.3600,4.8000,0.3908,0.5545,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,41,
960.0000,540.0000,1,52,Rectangle 51,AutoShape,381.2827,290.2184,15.3600,4.8000,0.3972,0.5374,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,42,
960.0000,540.0000,1,53,Rectangle 52,AutoShape,386.6209,280.3500,15.3600,4.8000,0.4027,0.5192,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,43,
960.0000,540.0000,1,54,Rectangle 53,AutoShape,392.3552,270.1245,15.3600,4.8000,0.4087,0.5002,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,44,
960.0000,540.0000,1,55,Rectangle 54,AutoShape,398.4408,258.9995,15.3600,4.8000,0.4150,0.4796,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,45,
960.0000,540.0000,1,56,Rectangle 55,AutoShape,405.1209,247.0379,15.3600,4.8000,0.4220,0.4575,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,46,
960.0000,540.0000,1,57,Rectangle 56,AutoShape,411.6412,236.2176,15.3600,4.8000,0.4288,0.4374,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,47,
960.0000,540.0000,1,58,Rectangle 57,AutoShape,418.0330,226.1053,15.3600,4.8000,0.4355,0.4187,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,48,
960.0000,540.0000,1,59,Rectangle 58,AutoShape,424.4249,214.8869,15.3600,4.8000,0.4421,0.3979,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,49,
960.0000,540.0000,1,60,Rectangle 59,AutoShape,429.9725,205.2407,15.3600,4.8000,0.4479,0.3801,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,50,
960.0000,540.0000,1,61,Rectangle 60,AutoShape,437.0021,194.5079,15.3600,4.8000,0.4552,0.3602,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,51,
960.0000,540.0000,1,62,Rectangle 61,AutoShape,443.2154,182.7482,15.3600,4.8000,0.4617,0.3384,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,52,
960.0000,540.0000,1,63,Rectangle 62,AutoShape,450.0954,173.0849,15.3600,4.8000,0.4688,0.3205,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,53,
960.0000,540.0000,1,64,Rectangle 63,AutoShape,454.8249,162.6102,15.3600,4.8000,0.4738,0.3011,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,54,
960.0000,540.0000,1,65,Rectangle 64,AutoShape,460.0750,152.9508,15.3600,5.9231,0.4792,0.2832,0.0160,0.0110,26.981,#FFFF00,0.000,#042433,1.500,0.000,55,
960.0000,540.0000,1,66,Rectangle 65,AutoShape,479.9816,148.7032,15.3600,5.9231,0.5000,0.2754,0.0160,0.0110,8.599,#FFFF00,0.000,#042433,1.500,0.000,56,
960.0000,540.0000,1,67,Rectangle 66,AutoShape,496.6594,144.4193,15.3600,5.9231,0.5174,0.2674,0.0160,0.0110,85.285,#FFFF00,0.000,#042433,1.500,0.000,57,
960.0000,540.0000,1,68,Rectangle 67,AutoShape,509.8167,141.5352,15.3600,5.9231,0.5311,0.2621,0.0160,0.0110,85.285,#FFFF00,0.000,#042433,1.500,0.000,58,
960.0000,540.0000,1,69,Rectangle 68,AutoShape,340.4132,293.0213,15.3600,4.8000,0.3546,0.5426,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,59,
960.0000,540.0000,1,70,Rectangle 69,AutoShape,347.0490,282.0969,15.3600,4.8000,0.3615,0.5224,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,60,
960.0000,540.0000,1,71,Rectangle 70,AutoShape,352.3873,271.6111,15.3600,4.8000,0.3671,0.5030,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,61,
960.0000,540.0000,1,72,Rectangle 71,AutoShape,359.0241,259.9262,15.3600,4.8000,0.3740,0.4813,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,62,
960.0000,540.0000,1,73,Rectangle 72,AutoShape,365.4168,249.8076,15.3600,4.8000,0.3806,0.4626,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,63,
960.0000,540.0000,1,74,Rectangle 73,AutoShape,371.2234,238.3067,15.3600,4.8000,0.3867,0.4413,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,64,
960.0000,540.0000,1,75,Rectangle 74,AutoShape,377.6153,226.8545,15.3600,4.8000,0.3933,0.4201,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,65,
960.0000,540.0000,1,76,Rectangle 75,AutoShape,383.8715,215.7642,15.3600,4.8000,0.3999,0.3996,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,66,
960.0000,540.0000,1,77,Rectangle 76,AutoShape,389.6465,203.9963,15.3600,4.8000,0.4059,0.3778,0.0160,0.0089,26.981,#FFFF00,0.000,#042433,1.500,0.000,67,
